LogisticRegression_f1	LogisticRegression_f1_train	LogisticRegression_precision	LogisticRegression_recall	MultinomialNB_f1	MultinomialNB_f1_train	MultinomialNB_precision	MultinomialNB_recall	decay	depth	featurizer	max_regions	model	model_prefix	sample_size	timestamp
0.458107672282		0.462729640875	0.47248471373	0.443594004117		0.473647590463	0.46025569761	0.8	1	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 07:30:10 2015
0.458738156221		0.463862100621	0.470817120623	0.449262996819		0.472282927824	0.464702612563	0.6	2	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 08:57:16 2015
0.458811529494	0.510255223332	0.470214953144	0.473040578099	0.449984576166	0.495277827613	0.451966789912	0.469705391884	0.4	6	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 19:16:55 2015
0.459285714286		0.46	0.5					0.95	7	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:42:25 2015
0.459836011329		0.463492055945	0.473040578099	0.445524689379		0.473940814552	0.461923290717	0.9	1	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 07:30:12 2015
0.461139374002		0.46463308902	0.474152306837	0.447044192633		0.466191602026	0.462479155086	1.0	1	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 07:30:30 2015
0.46127552228	0.519186160063	0.465099521909	0.473596442468	0.450344213367	0.501527775503	0.474054626947	0.465258476932	0.6	2	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 18:27:56 2015
0.462801610881	0.530297281031	0.463582114427	0.475264035575	0.448556028829	0.501954504398	0.459787949604	0.463035019455	0.8	2	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 18:27:56 2015
0.465180561774		0.467494607787	0.478043357421	0.451904112144		0.48430847821	0.466926070039	0.6	2	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 11:27:16 2015
0.467492735469		0.467455236088	0.479710950528	0.445348598717		0.456368574816	0.46025569761	0.8	2	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 08:55:05 2015
0.46880952381		0.448333333333	0.55					0.9	0	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:16:56 2015
0.469448893561		0.469088627903	0.480266814897	0.44731802266		0.452212400091	0.459699833241	1.0	2	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 08:55:34 2015
0.469489648608	0.536558184588	0.47030377313	0.480266814897	0.448773838215	0.500864476508	0.454113526377	0.460811561979	1.0	2	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 18:27:55 2015
0.470454780426	0.528659174514	0.473787052539	0.483046136743	0.456634444847	0.510247915052	0.475453329196	0.471928849361	0.6	3	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 18:34:35 2015
0.471112650378		0.471472677201	0.481934408004	0.447467204028		0.451833813848	0.459699833241	1.0	2	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 11:27:16 2015
0.471487067105		0.47279014359	0.483046136743	0.453896127487		0.469102990915	0.468037798777	0.8	2	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 11:27:16 2015
0.471785627485		0.473425671413	0.483046136743	0.451856717354		0.458129379194	0.465258476932	0.9	2	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 08:55:11 2015
0.47192988879		0.473656825985	0.484157865481	0.457905305554		0.47648874828	0.471928849361	0.6	4	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 11:44:46 2015
0.472545439107		0.474101864704	0.483046136743	0.449111644871		0.454215445952	0.460811561979	0.95	2	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 08:56:12 2015
0.473005372825	0.533656818745	0.47567185649	0.48471372985	0.445106312136	0.498655782052	0.452333911817	0.457476375764	0.9	2	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 18:27:56 2015
0.473213877671		0.474181727068	0.48471372985	0.447231429884		0.454657069157	0.459699833241	0.95	2	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 11:27:15 2015
0.474395877413		0.474211742254	0.486381322957	0.457293484704		0.461245666505	0.470261256253	0.8	3	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 11:34:29 2015
0.475096628426	0.539110850875	0.479442934477	0.488048916064	0.458074163488	0.514857262383	0.473356092002	0.47248471373	0.6	4	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 18:45:01 2015
0.475458994328		0.480362267479	0.487493051695	0.454831251253		0.471632737665	0.470817120623	0.6	3	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 11:34:28 2015
0.476243623623	0.53784753135	0.477069906588	0.488048916064	0.449391040823	0.500961168169	0.455714260392	0.462479155086	0.95	2	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 18:27:54 2015
0.478058085881		0.47815849096	0.489716509172	0.450880766959		0.457370020873	0.464702612563	0.9	2	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 11:27:16 2015
0.478333333333		0.466666666667	0.575					0.8	0	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:16:56 2015
0.478571428571		0.461666666667	0.55					0.4	2	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:23:51 2015
0.479285714286		0.485	0.525					1.0	7	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:42:57 2015
